"Label;Description"
"World;Reuters - Venezuelans turned out early\and in large numbers on Sunday to vote in a historic referendum\that will either remove left-wing President Hugo Chavez from\office or give him a new mandate to govern for the next two\years."
"World;Reuters - South Korean police used water cannon in\central Seoul Sunday to disperse at least 7,000 protesters\urging the government to reverse a controversial decision to\send more troops to Iraq."
"World;Reuters - Thousands of Palestinian\prisoners in Israeli jails began a hunger strike for better\conditions Sunday, but Israel's security minister said he\didn't care if they starved to death."
"World;AFP - Sporadic gunfire and shelling took place overnight in the disputed Georgian region of South Ossetia in violation of a fragile ceasefire, wounding seven Georgian servicemen."
"World;AP - Dozens of Rwandan soldiers flew into Sudan's troubled Darfur region Sunday the first foreign armed force deployed in the area since Arab militiamen began a rampage against black African farmers, killing thousands."
"World;Reuters - Rwandan troops were airlifted on Sunday\to Sudan's Darfur as the first foreign force there, mandated to\protect observers monitoring a cease-fire between the Sudanese\government and rebels in the troubled western region."
"World;AP - A bomb exploded during an Independence Day parade in India's remote northeast Sunday killing at least 15 people including schoolchildren while a rocket attack during a celebration at a school in the separatist region of Kashmir injured 17, officials said."
"World;AFP - Australia's foreign minister will pay a rare visit to North Korea this week for talks on its nuclear programme after creating a stir here by warning a North Korean missile would be able to hit Sydney."
"World;AP - Democratic presidential candidate John Kerry does not plan to visit Florida in the aftermath of Hurricane Charley because he's concerned his campaign entourage could distract from recovery efforts, he said Saturday."
"World;AP - Democratic vice presidential candidate John Edwards called for changes to prescription drug programs and praised running mate John Kerry's military and government service at an outdoor campaign rally here Saturday."
"World;AFP - Although polls show the US presidential race a virtual dead heat, Democrat John Kerry appears to be gaining an edge over George W. Bush among the key states that could decide the outcome."
"World;AP - Congress must pass legislation to protect the nation's electricity grid if it wants to avoid repeats of the devastating outages that rolled across eight states last year Sen. Maria Cantwell D-Wash., said Saturday."
"World;AP - Missouri's attorney general sued the federal environmental agency on Friday, saying it is behind on testing the state's air for lead as required by law."
"World; BAGHDAD (Reuters) - Insurgents fired mortars at a meeting  where Iraqi leaders met to pick an interim national assembly  Sunday, killing at least two people in a grim reminder of the  country's tortured path toward democracy."
"World; TOKYO (Reuters) - Three Japanese ministers paid homage at a  controversial shrine for war dead Sunday the 59th anniversary  of Japan's World War II surrender, a move that drew anger from  Asian neighbors."
"World;Clashes between US troops and Sadr militiamen escalated Thursday, as the US surrounded Najaf for possible siege."
"World;Amid a reevaluation, officials this week pushed the completion date for venues back to 2007."
"World;Talks on setting up an Iraqi assembly continue despite fresh violence in Baghdad and the Shia stronghold of Najaf."
"World;A referendum is under way in Venezuela to decide if President Hugo Chavez should remain in office."
"World;An ailing Pope John Paul II says Mass at Lourdes, the French shrine revered by Roman Catholics."
"World;Rwandan troops arrive in Sudan to help protect ceasefire monitors in the war-ravaged Darfur region."
"World;Ian Thorpe sets the fastest time in the 200m freestyle as swimming's top names cruise into the semi-finals."
"World;Iran's Arash Miresmaili withdraws from the Olympics amid confusion over his reasons."
"World;Santa Barbara's sheriff asks a judge if he can release the results of an inquiry into Michael Jackson's treatment by police."
"World;The Iraq crisis and differences over Nato loom over the US Defence Secretary's meeting with his Russian counterpart."
"World;Georgia and South Ossetia negotiate the details of a truce they forged, despite reports of a village attack."
"World;The British journalist who was kidnapped in Iraq says he faced mock executions and tried to escape his captors."
"World;A man convicted of raping and killing a schoolgirl is hanged in India's first execution in nine years."
"World;Harry Potter author JK Rowling delights a small group of fans by giving her first public reading in Scotland for four years."
"World;CARACAS -- Partisans on both sides are calling it the most polarized and important election in Venezuela's history, a presidential recall referendum today that will determine the course of democracy here and could buffet world oil prices. Both campaigns are also utterly convinced they will win."
"World;LONDON -- On a sweltering August afternoon George Watson wedged himself his briefcase his sports jacket and his raincoat into a narrow seat aboard the profoundly un-air-conditioned No. 38 bus as it resumed its rumble down High Holborn, in London's bustling city center."
"World;KABUL Afghanistan -- Rival militias clashed in western Afghanistan yesterday, reportedly killing 21 people and ramping up concern about security as the country prepares for landmark elections."
"World;BAGHDAD -- After more than a week of fighting between the Mahdi Army and the combined US and Iraqi forces in Najaf Baghdad's Sadr City and a half-dozen other cities, analysts say neither interim Prime Minister Iyad Allawi nor radical cleric Moqtada al-Sadr had any good options left other than to talk."
"World;SASEBO Japan -- On a cloudless afternoon in this sleepy port city an 11-year-old girl drenched in blood and clutching a box cutter walked into the lunchroom at her elementary school. Teachers and students froze assuming the sixth-grader known for her lighthearted nature had gravely hurt herself -- but she quickly dispelled that impression witnesses said, by uttering a few ..."
"World;SARAJEVO Bosnia-Herzegovina -- When NATO forces first came to Bosnia nearly a decade ago they lived in heavily guarded compounds patrolled the streets in tanks, and often wore full body armor."
"World;SEOUL -- For years Lee Yu Jin kept her secret. Whenever anybody asked -- and they did all the time as her celebrity as an actress and model spread -- she simply denied the rumors. No, she was not a foreigner. She was Korean."
"World;CARACAS Venezuela - The opposition's long and bitter campaign to oust Venezuelan President Hugo Chavez finally came down to a recall referendum Sunday with the leftist leader hoping a huge turnout among the poor will keep him in power.    Activists on both sides set off fireworks and blared recordings of bugle music to wake voters hours before dawn, hoping for a flood of early votes in their favor..."
"World;PUNTA GORDA Fla. - After getting a first look at the widespread damage left behind by Hurricane Charley Florida residents were faced with the arduous task of sorting through the wreckage and for some, starting over again..."
"World;MIAMI - Hurricane Charley probably will not cause Floridians' insurance premiums to skyrocket like 1992's Andrew and fewer insurers should go bankrupt from paying out damages expected to reach the billions of dollars state and industry officials said Saturday.    They say previous premium increases and overhauls made because of Andrew, the most expensive natural disaster in U.S..."
"World;PUNTA GORDA Fla. - After getting a first look at the widespread damage left behind by Hurricane Charley Florida residents were faced with the arduous task of sorting through the wreckage and for some, starting over again..."
"Sports;AP - Michael Phelps took care of qualifying for the Olympic 200-meter freestyle semifinals Sunday, and then found out he had been added to the American team for the evening's 400 freestyle relay final. Phelps' rivals Ian Thorpe and Pieter van den Hoogenband and teammate Klete Keller were faster than the teenager in the 200 free preliminaries."
"Sports;AP - Wily Mo Pena homered twice and drove in four runs, helping the Cincinnati Reds beat the San Diego Padres 11-5 on Saturday night. San Diego was knocked out of a share of the NL wild-card lead with the loss and Chicago's victory over Los Angeles earlier in the day."
"Sports;AFP - National Basketball Association players trying to win a fourth consecutive Olympic gold medal for the United States have gotten the wake-up call that the ""Dream Team"" days are done even if supporters have not."
"Sports;AP - The Cleveland Indians pulled within one game of the AL Central lead, scoring four runs in the first inning and beating the Minnesota Twins 7-1 Saturday night behind home runs by Travis Hafner and Victor Martinez."
"Sports;AP - Kevin Hartman made seven saves for Los Angeles, and Jon Busch had two saves for Columbus as the Galaxy and Crew played to a 0-0 tie Saturday night."
"Sports;AP - Southern California will begin defense of its first national title in 31 years as the No. 1 team in the nation. The Trojans earned the top spot in the preseason Associated Press poll released Saturday by receiving 48 of 65 first-place votes and 1,603 points."
"Sports;AP - Italy's Flavia Pennetta won the Idea Prokom Open for her first WTA Tour title beating Klara Koukalova of the Czech Republic 7-5 3-6, 6-3 Saturday after French Open champion Anastasia Myskina withdrew before the semifinals because of a rib injury."
"Sports; ATHENS (Reuters) - Michael Phelps his first gold medal  safely gathered in, eased through the next phase of his  monumental Olympic challenge in the heats of the 200 meters  freestyle Sunday but the immensity of the task ahead was clear."
"Sports; ATHENS (Reuters) - A diplomatic wrangle of Olympic  proportions was avoided Sunday when Iranian world judo champion  Arash Miresmaeili failed to make the weight for his clash with  an Israeli opponent."
"Sports; KOHLER Wisconsin (Reuters) - Tiger Woods failed to make  the most of a red-hot start in the U.S. PGA Championship third  round on Saturday, having to settle for a three-under-par 69."
"Sports; ATHENS (Reuters) - But for a decision that enraged her  coach, LaTasha Colander might have been the Marion Jones of the  Athens Olympics."
"Sports; NEW YORK (Reuters) - John Olerud sunk his former team by  recording a two-run single in the eighth inning to drive in the  go-ahead runs which earned the New York Yankees a 6-4 win over  the host Seattle Mariners in the American League Saturday.   "
"Sports; NEW YORK (Reuters) - Chipper Jones cracked two homers and  Julio Franco's two-run double in the seventh inning drove in  the winning runs as the streaking Atlanta Braves downed the St.  Louis Cardinals 9-7 in the National League Saturday."
"Sports; ATHENS (Reuters) - The honor of Greece lies above  individual athletes and no backstage antics should compromise  it Greek media said Sunday, after the country's top athletes  were suspended from the team under a cloud of doping suspicion."
"Sports; ATHENS (Reuters) - The United States beat Canada in a world  best time to qualify for the final of the men's Olympic eights  race Sunday, as the two crews renewed their fierce rivalry in  front of a raucous crowd at Schinias."
"Sports;Avoiding the late trouble that knocked other contenders off track, Vijay Singh held a one-stroke lead over Justin Leonard heading into the final round of the P.G.A. Championship."
"Sports;John Olerud reveled in his return to Safeco Field by slapping a two-run single that lifted the Yankees and saved Esteban Loaiza from a defeat."
"Sports;Family Day in the Fens means fun and games to most folks. Players toddle around the bases with wide-eyed kids. Mothers beam. Children smile. All is bliss on the sun-splashed emerald lawn."
"Sports;The Yankees' Alex Rodriguez  who missed Friday night's game with the flu and stayed back at the team hotel yesterday, dropped his appeal of a four-game suspension issued for his involvement in the July 24 brawl at Boston and began serving the penalty. He won't be eligible to play until Thursday at Minnesota."
"Sports;Kerry Wood homered and allowed four hits in eight innings leading the Chicago Cubs over the visiting Los Angeles Dodgers 2-0, yesterday."
"Sports;With Scott Williamson bracing for a potentially grim diagnosis of his latest elbow injury, the Red Sox last night appeared poised to move on without him as Curtis Leskanic inched closer to rejoining the club. The Sox initially indicated they would make an announcement last night on Williamson's injury but changed their position during the first inning of the game ..."
"Sports;HAVEN Wis. -- Perched high on the bluffs overlooking Lake Michigan Whistling Straits is a massive windswept landscape, as large a golf course as \$40 million can buy. It is complete with sand dunes that could double as ski slopes and deep bunkers that should require elevators."
"Sports;ATHENS -- Star sprinters Kostas Kenteris and Katerina Thanou were suspended yesterday from the Greek Olympic team for missing drug tests, but their fate was left in the hands of the International Olympic Committee."
"Sports;Rich Gannon  the 2002 NFL MVP who was knocked out of the Raiders' loss to Kansas City last Oct. 20 and had shoulder surgery in November, was 9 for 15 for 69 yards in visiting Oakland's 33-30 exhibition win over the San Francisco 49ers last night."
"Sports;WASHINGTON -- Rookie Andy Dorman didn't even have time to get his white long-sleeved jersey smudged on the sloppy RFK Stadium field last night before salvaging a 2-2 tie for the Revolution against D.C. United. Fifty-five seconds after entering the game as a late substitute, Dorman buried a low shot from inside the penalty area and extended his team's unbeaten ..."
"Sports;OCEANPORT N.J. -- Sing Me Back Home pulled away in the stretch to win the \$60000 Decathalon Handicap at Monmouth Park yesterday, equaling the track record for 5 furlongs."
"Sports;HAVEN Wis. -- If he were acting his age Jay Haas would have had the weekend off, resting on his laurels and reaping the benefits of the nice-and-easy Champions Tour."
"Sports;Southern California greeted news of its first preseason No. 1 ranking since 1979 with ambivalence."
"Sports;HAVEN Wis. -- For 18 holes Stuart Appleby played flawless golf in yesterday's third round four birdies and 14 pars. It wasn't until he was done playing that he discovered that it wasn't as good a day as he had thought, that he had made a quadruple bogey."
"Sports;Fifth and ninth for Fernando and Jarno following qualifying for tomorrow's Hungarian Grand Prix."
"Sports;The teams have just finished their final preparations for the race and qualifying, in much lower temperatures than yesterday."
"Sports;The Renault F1 Team drivers explain how you can make up positions at the Hungarian circuit."
"Sports;The Renault F1 Team ran through its programme without worrying about the timesheets or its rivals. The focus has been on Sundays race, not Fridays glory."
"Sports;Fernando tenth and Jarno seventeenth but no cause for concern, while Pat Symonds explains the challenges of Fridays at the race."
"Sports;A fourth-quarter lead proves fleeting for the Redskins as John Kasay hits a 52-yard field goal Saturday to give the Panthers a 23-20 overtime win."
"Sports;Defending national champion USC begins the 2004 season right where it left off the year before - as the top ranked team in the AP Top 25 poll."
"Sports;There were few offensive highlights during Virginia Tech's first scrimmage of fall practice on Saturday."
"Sports;Treat Huey the two-time All-Met Player of the year suffered a 6-2 6-0 loss to 29-year-old journeyman Mashiska Washington, the younger brother of former pro and 1996 Wimbledon finalist Malivai."
"Sports;BALTIMORE Aug. 14 -- Even before Hurricane Charley ranged up the East Coast and began to drop its drizzle on Pimlico Race Course the \$75,000 All Brandy Stakes for Maryland-bred fillies and mares had been taken off the track's beat-up turf course."
"Sports;At 5 feet 8 160 pounds, second baseman Mike Fontenot looks more like the Class AAA Ottawa Lynx's batboy than one of the Baltimore Orioles' top prospects."
"Business;Reuters - Short-sellers Wall Street's dwindling\band of ultra-cynics, are seeing green again."
"Business;Reuters - Private investment firm Carlyle Group\which has a reputation for making well-timed and occasionally\controversial plays in the defense industry, has quietly placed\its bets on another part of the market."
"Business;Reuters - Soaring crude prices plus worries\about the economy and the outlook for earnings are expected to\hang over the stock market next week during the depth of the\summer doldrums."
"Business;Reuters - Authorities have halted oil export\flows from the main pipeline in southern Iraq after\intelligence showed a rebel militia could strike\infrastructure, an oil official said on Saturday."
"Business;AFP - Tearaway world oil prices toppling records and straining wallets, present a new economic menace barely three months before the US presidential elections."
"Business;Reuters - Stocks ended slightly higher on Friday\but stayed near lows for the year as oil prices surged past  #36"
"Business;AP - Assets of the nation's retail money market mutual funds fell by  #36"
"Business;USATODAY.com - Retail sales bounced back a bit in July and new claims for jobless benefits fell last week the government said Thursday, indicating the economy is improving from a midsummer slump."
"Business;Forbes.com - After earning a PH.D. in Sociology, Danny Bazil Riley started to work as the general manager at a commercial real estate firm at an annual base salary of  #36"
"Business; NEW YORK (Reuters) - Short-sellers Wall Street's dwindling  band of ultra-cynics, are seeing green again."
"Business; NEW YORK (Reuters) - Soaring crude prices plus worries  about the economy and the outlook for earnings are expected to  hang over the stock market next week during the depth of the  summer doldrums."
"Business; TEHRAN (Reuters) - OPEC can do nothing to douse scorching  oil prices when markets are already oversupplied by 2.8 million  barrels per day (bpd) of crude Iran's OPEC governor said  Saturday, warning that prices could fall sharply."
"Business; JAKARTA (Reuters) - Non-OPEC oil exporters should consider  increasing output to cool record crude prices, OPEC President  Purnomo Yusgiantoro said on Sunday."
"Business; WASHINGTON/NEW YORK (Reuters) - The auction for Google  Inc.'s highly anticipated initial public offering got off to a  rocky start on Friday after the Web search company sidestepped  a bullet from U.S. securities regulators."
"Business; NEW YORK (Reuters) - The dollar tumbled broadly on Friday  after data showing a record U.S. trade deficit in June cast  fresh doubts on the economy's recovery and its ability to draw  foreign capital to fund the growing gap."
"Business;If you think you may need to help your elderly relatives with their finances, don't be shy about having the money talk -- soon."
"Business;The purchasing power of kids is a big part of why the back-to-school season has become such a huge marketing phenomenon."
"Business;There is little cause for celebration in the stock market these days, but investors in value-focused mutual funds have reason to feel a bit smug -- if only because they've lost less than the folks who stuck with growth."
"Business;The US trade deficit has exploded 19 to a record \$55.8bn as oil costs drove imports higher, according to a latest figures."
"Business;Oil giant Shell could be bracing itself for a takeover attempt possibly from French rival Total, a  press report claims."
"Business;The bidding gets underway for Google's public offering, despite last-minute worries over an interview with its bosses in Playboy magazine."
"Business;Official figures show the 12-nation eurozone economy continues to grow, but there are warnings it may slow down later in the year."
"Business;Economic growth in Japan slows down as the country experiences a drop in domestic and corporate spending."
"Business;Interest rates are trimmed to 7.5 by the South African central bank,  but the lack of warning hits the rand and surprises markets."
"Business;The cost of buying both new and second hand cars fell sharply over the past five years, a new survey has found."
"Business;South Korea's central bank cuts interest rates by a quarter percentage point to 3.5 in a bid to drive growth in the economy."
"Business;An auction of shares in Google the web search engine which could be floated for as much as \$36bn, takes place on Friday."
"Business;Hewlett-Packard shares fall after disappointing third-quarter profits, while the firm warns the final quarter will also fall short of expectations."
"Business;One of the oldest textile operators on the Indian Ocean island of Mauritius last week shut seven factories and cut 900 jobs."
"Business;Chad asks the IMF for a loan to pay for looking after more than 100,000 refugees from conflict-torn Darfur in western Sudan."
"Business;The company running the Japanese nuclear plant hit by a fatal accident is to close its reactors for safety checks."
"Business;Trevor Baylis the veteran inventor famous for creating the Freeplay clockwork radio, is planning to float his company on the stock market."
"Business;Saudi Arabia says it is ready to push an extra 1.3 million barrels a day of oil into the market, to help reverse surging prices."
"Business;A group led by the UAE's Etisalat plans to spend \$1bn (544m) on expansion after winning two mobile phone licences in Saudi Arabia."
"Business;Network Rail flies in specialist Indian engineers to work on the West Coast Mainline because of a UK skills shortage."
"Business;BEDFORD -- Scientists at NitroMed Inc. hope their experimental drugs will cure heart disease someday. But lately their focus has been on more mundane matters."
"Business;I've submitted my bid to buy shares of Google Inc. in the computer search company's giant auction-style initial public offering. That could turn out to be the good news or the bad news."
"Business;Massachusetts bargain hunters showed up in droves and shopped hard on yesterday's sales tax holiday buying everything from treadmills and snow blowers to candles and chandeliers, and crediting the 5-percent tax break with bringing them into the stores."
"Business;E-mail is a victim of its own success. That's the conclusion of IBM Corp. researchers in Cambridge, who have spent nearly a decade conducting field tests at IBM and other companies about how employees work and use electronic mail. It's clear to them that e-mail has become the Internet's killer application."
"Business;Even a genius can mess up. Bill Gates was a brilliant technologist when he cofounded Microsoft  but as he guided it to greatness in both size and historical consequence he blundered. He terrorized underlings with his temper and parceled out praise like Scrooge gave to charity. Only the lash inspired the necessary aggressiveness to beat the competition, he thought."
"Sci Tech;Reuters - Was absenteeism a little high\on Tuesday among the guys at the office? EA Sports would like\to think it was because ""Madden NFL 2005"" came out that day,\and some fans of the football simulation are rabid enough to\take a sick day to play it."
"Sci Tech;Reuters - A group of technology companies\including Texas Instruments Inc. (TXN.N) STMicroelectronics\(STM.PA) and Broadcom Corp. (BRCM.O), on Thursday said they\will propose a new wireless networking standard up to 10 times\the speed of the current generation."
"Sci Tech;Reuters - America Online on Thursday said it\plans to sell a low-priced PC targeting low-income and minority\households who agree to sign up for a year of dialup Internet\service."
"Sci Tech;Reuters - A group of consumer electronics\makers said on Wednesday they approved the format for a new\generation of discs that can store five times the data of DVDs\at the same cost -- enough to put a full season of ""The\Sopranos"" on one disc."
"Sci Tech;Reuters - The mystery of what went wrong for the\software industry in late June when sales stalled at more than\20 brand-name companies is not even close to being solved\although the third quarter is nearly halfway over."
"Sci Tech;AP - The Norwegian hacker famed for developing DVD encryption-cracking software has apparently struck again  #151"
"Sci Tech;Reuters - The ability to download complete\tracks directly over cell-phone networks to mobile phones is\becoming a reality in Europe."
"Sci Tech;Reuters - Oracle Corp. sales documents\detailing highly confidential information such as which\companies receive discounts on Oracle's business software\products and the size of the discounts are likely to be made\public, a federal judge said on Friday."
"Sci Tech;PC World - Developers get early code for new operating system 'skin' still being crafted."
"Sci Tech;MacCentral - Apple Computer Inc. will open its second Japanese retail store later this month in the western Japanese city of Osaka, it said Thursday."
"Sci Tech;AP - Hurricane Charley's 145-mph force took forecasters by surprise and showed just how shaky a science it still is to predict a storm's intensity  #151"
"Sci Tech;AP - With more than 4000 scientists including 48 Nobel Prize winners having signed a statement opposing the Bush administration's use of scientific advice, this election year is seeing a new development in the uneasy relationship between science and politics."
"Sci Tech;AP - A former dormitory converted to classrooms at the Pensacola Naval Air Station was dedicated Friday to two Columbia astronauts who were among the seven who died in the shuttle disaster Feb. 1, 2003."
"Sci Tech;AP - A Russian cargo ship docked with the international space station Saturday bringing food water fuel and other items to the two-man Russian-American crew, a space official said."
"Sci Tech;AP - Along the banks of the canal women in rowboats grill fish and sell fresh bananas. Families eat on floating pavilions, rocked gently by waves from passing boats."
"Sci Tech;Reuters - Tyrannosaurus Rex grew incredibly fast\during a teenaged growth spurt that saw the dinosaur expand its\bulk by six times but the fearsome beasts ""lived fast and died\young,"" researchers said on Wednesday."
"Sci Tech;Reuters - Procrastinating monkeys were turned\into workaholics using a gene treatment to block a key brain\compound, U.S. researchers reported on Wednesday."
"Sci Tech;Reuters - Some people are born to be the life and\soul of the party -- and so it seems are some dolphins."
"Sci Tech;Reuters - As Shakespeare said, a rose by any other\name would smell as sweet. Right?"
"Sci Tech;Reuters - British scientists said on Wednesday\they had received permission to clone human embryos for medical\research, in what they believe to be the first such license to\be granted in Europe."
"Sci Tech;SPACE.com - An expedition of Russian researchers claims to have found evidence that an \  alien spaceship had something to do with a huge explosion over Siberia in 1908. \  Experts in asteroids and comets have long said the massive blast was caused \  by a space rock."
"Sci Tech;SPACE.com - A nearby star thought to harbor comets and asteroids now appears to be home to planets too. The presumed worlds are smaller than Jupiter and could be as tiny as Pluto, new observations suggest."
"Sci Tech;SPACE.com - A fine display of shooting stars is underway and peaks overnight Wednesday into early Thursday morning. Astronomers expect the 2004 Perseid meteor shower to be one of the best versions of the annual event in several years."
"Sci Tech;SPACE.com - While the exploration of the Moon and other planets in our solar system is nbsp"
"Sci Tech;AP - Rats can become drug addicts. That's important to know scientists say, and has taken a long time to prove. Now two studies by French and British researchers show the animals exhibit the same compulsive drive for cocaine as people do once they're truly hooked."
"Sci Tech;SPACE.com - Amid uncertainty over the fate of the Hubble Space Telescope and with a key instrument not working, NASA Administrator Sean O'Keefe gave the go-ahead Monday for planning a robotic servicing mission."
"Sci Tech;SPACE.com - Armadillo Aerospace of Mesquite, Texas has reported a \crash last weekend of their prototype X Prize rocket."
"Sci Tech;AP - The black-tailed prairie dog has been dropped from a list of candidates for the federal endangered species list because scientists have concluded the rodents are no longer threatened."
"Sci Tech;SPACE.com - One of the four astronomical instruments on the Hubble Space Telescope shut down earlier this week and engineers are trying to pin down the problem. The other three instruments continue to operate normally."
"Sci Tech;AP - They burned it mowed it sprayed it and flooded it. But nothing killed the purple loosestrife weed which has become a regional plague, until officials at the Parker River National Wildlife Refuge set a European beetle loose on it."
"Sci Tech;SPACE.com - NASA researchers have teamed up with a pair of Silicon Valley firms to build \  a supercomputer that ranks alongside the world's largest Linux-based systems."
"Sci Tech;AP - Normally clannish and agressive Argentine ants have become so laid back since arriving in Australia decades ago that they no longer fight neighboring nests and have formed a supercolony here that spans 60 miles, scientists say."
"Sci Tech;SPACE.com - Every August when many \  people are vacationing in the country where skies are dark the best-known meteor \  shower makes its appearance. The annual Perseid meteor shower as it is called, \  promised to put on an above average display this year."
"Sci Tech;AP - Rescuers succeeded in freeing a minke whale that washed up on a beach in southeastern Brazil, the fire department said Thursday."
"Sci Tech;AP - A red-footed falcon spotted for the first time in North America is enticing birdwatchers to Martha's Vineyard."
"Sci Tech;SPACE.com - Gamma-ray bursts are the most powerful events in the universe, temporary outshining several galaxies and likely signaling the birth of a black hole."
"Sci Tech;AP - The prospect that a tropical storm and a hurricane  #151"
"Sci Tech;AP - NASA's Genesis spacecraft successfully adjusted its course this week as it heads back toward Earth with a sample of solar wind particles, the space agency said Wednesday."
"Sci Tech;SPACE.com - Flip a coin. Heads Earth is a common sort of planet. Tails, and ours is as unusual as a coin landing on edge. That's about the state of knowledge for scientists who ponder the question of our planet's rarity."
"Sci Tech;AP - His hand on a toggle switch and his eyes on a computer screen, Oregon State University graduate student Anthony Kirincich uses an array of scientific instruments to probe the vibrant waters of the Pacific. He is searching for the absence of life."
